iter	Passed	Remaining
408	4505	1002
409	4514	991
410	4523	979
411	4532	968
412	4542	956
413	4551	945
414	4561	934
415	4571	923
416	4580	911
417	4590	900
418	4599	889
419	4608	877
420	4618	866
421	4626	855
422	4636	843
423	4645	832
424	4656	821
425	4666	810
426	4677	799
427	4688	788
428	4698	777
429	4708	766
430	4719	755
431	4730	744
432	4741	733
433	4752	722
434	4763	711
435	4775	700
436	4787	690
437	4797	679
438	4808	668
439	4821	657
440	4832	646
441	4842	635
442	4852	624
443	4864	613
444	4874	602
445	4884	591
446	4896	580
447	4907	569
448	4918	558
449	4930	547
450	4941	536
451	4951	525
452	4964	515
453	4975	504
454	4985	493
455	4995	482
456	5005	470
457	5016	460
458	5026	449
459	5037	438
460	5047	427
461	5058	416
462	5068	405
463	5080	394
464	5090	383
465	5100	372
466	5110	361
467	5120	350
468	5131	339
469	5141	328
470	5151	317
471	5161	306
472	5171	295
473	5181	284
474	5191	273
475	5201	262
476	5212	251
477	5223	240
478	5232	229
479	5241	218
480	5250	207
481	5260	196
482	5269	185
483	5278	174
484	5288	163
485	5298	152
486	5306	141
487	5316	130
488	5325	119
489	5335	108
490	5344	97
491	5355	87
492	5365	76
493	5374	65
494	5383	54
495	5392	43
496	5401	32
497	5410	21
498	5419	10
499	5428	0
